source,org_id,tbl_id,year,region_code,region_name,industry_code,industry_name,industry_level,indicator,unit,value,last_modified,quality_flag
KOSIS,101,DT_1FS1101,2020,00,전국,0,광업 및 제조업,총계,establishments,개,71116.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,0,광업 및 제조업,총계,establishments,개,72864.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,0,광업 및 제조업,총계,establishments,개,73592.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,0,광업 및 제조업,총계,establishments,개,73382.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,0,광업 및 제조업,총계,establishments,개,73890.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C,제조업(10~34),대분류,establishments,개,70767.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C,제조업(10~34),대분류,establishments,개,72510.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C,제조업(10~34),대분류,establishments,개,73260.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C,제조업(10~34),대분류,establishments,개,73050.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C,제조업(10~34),대분류,establishments,개,73570.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C10,식료품 제조업,중분류,establishments,개,5809.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C10,식료품 제조업,중분류,establishments,개,6183.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C10,식료품 제조업,중분류,establishments,개,6352.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C10,식료품 제조업,중분류,establishments,개,6564.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C10,식료품 제조업,중분류,establishments,개,6833.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C11,음료 제조업,중분류,establishments,개,269.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C11,음료 제조업,중분류,establishments,개,279.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C11,음료 제조업,중분류,establishments,개,282.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C11,음료 제조업,중분류,establishments,개,278.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C11,음료 제조업,중분류,establishments,개,277.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C12,담배 제조업,중분류,establishments,개,8.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C12,담배 제조업,중분류,establishments,개,8.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C12,담배 제조업,중분류,establishments,개,9.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C12,담배 제조업,중분류,establishments,개,8.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C12,담배 제조업,중분류,establishments,개,10.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C13,섬유제품 제조업; 의복제외,중분류,establishments,개,3011.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C13,섬유제품 제조업; 의복제외,중분류,establishments,개,2925.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C13,섬유제품 제조업; 의복제외,중분류,establishments,개,2746.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C13,섬유제품 제조업; 의복제외,중분류,establishments,개,2605.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C13,섬유제품 제조업; 의복제외,중분류,establishments,개,2513.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C14,의복 의복 액세서리 및 모피제품 제조업,중분류,establishments,개,1994.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C14,의복 의복 액세서리 및 모피제품 제조업,중분류,establishments,개,1996.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C14,의복 의복 액세서리 및 모피제품 제조업,중분류,establishments,개,1999.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C14,의복 의복 액세서리 및 모피제품 제조업,중분류,establishments,개,1935.0,,valid
